,Route ID,Difference
589,135,0 days 00:02:44
590,135,0 days 00:03:03
591,135,0 days 00:03:22
592,135,0 days 00:00:06
593,135,0 days 00:03:05
594,135,0 days 00:01:38
595,135,0 days 00:01:04
596,135,0 days 00:01:57
597,135,0 days 00:02:45
598,135,0 days 00:04:09
599,135,0 days 00:05:59
600,135,0 days 00:05:37
601,135,0 days 00:00:05
602,135,0 days 00:02:05
603,135,0 days 00:00:53
604,135,0 days 00:00:15
605,135,0 days 00:02:15
606,135,0 days 00:02:30
607,135,0 days 00:03:14
608,135,0 days 00:03:04
609,135,0 days 00:02:38
610,135,0 days 00:02:58
611,135,0 days 00:00:05
612,135,0 days 00:01:56
613,135,0 days 00:02:25
614,135,0 days 00:00:43
615,135,0 days 00:00:04
616,135,0 days 00:01:16
617,135,0 days 00:02:02
618,135,0 days 00:05:34
619,135,0 days 00:06:08
620,135,0 days 00:06:20
621,135,0 days 00:00:06
622,135,0 days 00:01:21
623,135,0 days 00:01:00
624,135,0 days 00:00:45
625,135,0 days 00:01:49
626,135,0 days 00:01:14
627,135,0 days 00:00:34
628,135,0 days 00:00:27
629,135,0 days 00:00:36
630,135,0 days 00:00:38
631,135,0 days 00:00:07
632,135,0 days 00:00:54
633,135,0 days 00:02:13
634,135,0 days 00:01:53
635,135,0 days 00:00:53
636,135,0 days 00:02:38
637,135,0 days 00:02:37
638,135,0 days 00:02:19
639,135,0 days 00:02:58
640,135,0 days 00:06:03
641,135,0 days 00:06:10
642,135,0 days 00:00:00
643,135,0 days 00:02:20
644,135,0 days 00:02:51
645,135,0 days 00:01:38
646,135,0 days 00:01:06
647,135,0 days 00:02:36
648,135,0 days 00:01:44
649,135,0 days 00:02:49
650,135,0 days 00:03:25
651,135,0 days 00:03:15
652,135,0 days 00:03:13
653,135,0 days 00:00:02
654,135,0 days 00:01:44
655,135,0 days 00:02:19
656,135,0 days 00:02:26
657,135,0 days 00:02:38
658,135,0 days 00:03:57
659,135,0 days 00:03:21
660,135,0 days 00:04:06
661,135,0 days 00:04:06
662,135,0 days 00:04:48
663,135,0 days 00:04:47
664,135,0 days 00:00:10
665,135,0 days 00:02:07
666,135,0 days 00:02:54
667,135,0 days 00:03:29
668,135,0 days 00:02:53
669,135,0 days 00:05:32
670,135,0 days 00:05:30
671,135,0 days 00:08:02
672,135,0 days 00:08:19
673,135,0 days 00:07:37
674,135,0 days 00:07:27
675,135,0 days 00:00:02
676,135,0 days 00:01:56
677,135,0 days 00:02:30
678,135,0 days 00:01:08
679,135,0 days 00:02:06
680,135,0 days 00:01:29
681,135,0 days 00:00:07
682,135,0 days 00:00:17
683,135,0 days 00:01:14
684,135,0 days 00:00:58
685,135,0 days 00:00:09
686,135,0 days 00:03:01
687,135,0 days 00:03:53
688,135,0 days 00:02:30
689,135,0 days 00:01:49
690,135,0 days 00:03:04
691,135,0 days 00:02:00
692,135,0 days 00:01:47
693,135,0 days 00:01:32
694,135,0 days 00:04:33
695,135,0 days 00:04:38
696,135,0 days 00:00:09
697,135,0 days 00:00:54
698,135,0 days 00:01:42
699,135,0 days 00:01:27
700,135,0 days 00:00:41
701,135,0 days 00:01:54
702,135,0 days 00:01:02
703,135,0 days 00:01:29
704,135,0 days 00:01:11
705,135,0 days 00:00:59
706,135,0 days 00:01:15
707,135,0 days 00:00:00
708,135,0 days 00:01:04
709,135,0 days 00:01:39
710,135,0 days 00:00:28
711,135,0 days 00:00:01
712,135,0 days 00:01:15
713,135,0 days 00:01:03
714,135,0 days 00:03:16
715,135,0 days 00:03:04
716,135,0 days 00:04:32
717,135,0 days 00:04:40
718,135,0 days 00:00:06
719,135,0 days 00:00:52
720,135,0 days 00:01:28
721,135,0 days 00:01:41
722,135,0 days 00:00:52
723,135,0 days 00:02:42
724,135,0 days 00:02:01
725,135,0 days 00:02:58
726,135,0 days 00:03:29
727,135,0 days 00:05:25
728,135,0 days 00:05:35
729,135,0 days 00:00:18
730,135,0 days 00:01:12
731,135,0 days 00:01:46
732,135,-1 days +23:59:57
733,135,0 days 00:00:08
734,135,0 days 00:01:11
735,135,0 days 00:00:20
736,135,0 days 00:04:11
737,135,0 days 00:04:45
738,135,0 days 00:06:13
739,135,0 days 00:06:35
740,135,0 days 00:00:00
741,135,0 days 00:01:26
742,135,0 days 00:02:36
743,135,0 days 00:00:32
744,135,0 days 00:00:04
745,135,0 days 00:01:06
746,135,0 days 00:00:59
747,135,0 days 00:01:48
