,Vehicle ID,Trip ID,Route ID,Direction,Schedule Relationship,Current Stop Sequence,Current Stop ID,Timestamp,Location
3972,C245,44201-2-37-170-1148,122,0.0,0.0,28.0,1486-01,2025-04-09 23:34:40,35.722782135009766 139.68887329101562
3973,C221,44201-2-37-170-1130,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:02,35.736263275146484 139.6721954345703
3974,G744,44201-2-37-170-1139,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:56,35.736263275146484 139.6721954345703
3975,F578,44210-1-37-170-1218,122,1.0,0.0,9.0,1487-01,2025-04-09 23:34:25,35.724857330322266 139.68617248535156
3976,E397,20201-1-33-170-1232,147,1.0,0.0,2.0,2482-14,2025-04-09 23:34:09,35.71173858642578 139.7172393798828
3977,D361,20201-1-33-170-1211,147,1.0,0.0,11.0,0715-02,2025-04-09 23:34:31,35.69274139404297 139.70416259765625
3978,E518,20201-2-33-170-1220,147,0.0,0.0,5.0,0227-01,2025-04-09 23:34:41,35.69718933105469 139.7071990966797
3979,L309,12001-1-13-170-1220,135,1.0,0.0,8.0,1019-01,2025-04-09 23:35:22,35.701255798339844 139.7157745361328
3980,G815,12001-2-13-170-1233,135,0.0,0.0,1.0,0971-01,2025-04-09 23:33:02,35.69751739501953 139.71974182128906
3981,G817,12001-2-13-170-1213,135,0.0,0.0,10.0,0715-02,2025-04-09 23:34:25,35.69274139404297 139.70416259765625
3982,X296,12301-2-13-170-1203,138,0.0,0.0,18.0,0722-02,2025-04-09 23:34:12,35.695465087890625 139.70713806152344
3983,Z546,12302-1-13-170-1224,138,1.0,0.0,6.0,0456-02,2025-04-09 23:35:30,35.697784423828125 139.7098846435547
3984,F567,24101-1-21-170-1223,148,1.0,0.0,6.0,1092-02,2025-04-09 23:35:16,35.69756317138672 139.6750030517578
3985,K232,24101-1-21-170-1156,148,1.0,0.0,25.0,0524-01,2025-04-09 23:36:04,35.744178771972656 139.67279052734375
3986,C215,24101-1-21-170-1128,148,1.0,0.0,42.0,0403-01,2025-04-09 23:35:47,35.76858901977539 139.73475646972656
3987,L317,24101-2-21-170-1234,148,0.0,0.0,1.0,0196-03,2025-04-09 23:34:05,35.75390625 139.7373504638672
3988,C216,24101-2-21-170-1206,148,0.0,0.0,21.0,0555-01,2025-04-09 23:34:31,35.74811553955078 139.67855834960938
3989,A599,24101-2-21-170-1138,148,0.0,0.0,36.0,1277-01,2025-04-09 23:35:43,35.69808578491211 139.65753173828125
3990,F566,24006-1-21-170-1221,158,1.0,0.0,11.0,1122-01,2025-04-09 23:34:12,35.69566345214844 139.68922424316406
3991,E400,24006-2-21-170-1226,158,0.0,0.0,5.0,1388-02,2025-04-09 23:35:13,35.69727325439453 139.67950439453125
3992,T262,24302-1-21-170-1223,158,1.0,0.0,9.0,1399-01,2025-04-09 23:35:41,35.68887710571289 139.6549835205078
3993,B725,24302-2-21-170-1215,158,0.0,0.0,14.0,0781-02,2025-04-09 23:35:45,35.69546890258789 139.65447998046875
